names,genres,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
LayLaLay,Pop/Ballad,0.5489999999999999,0.568,6,-8.158999999999999,0,0.17600000000000002,0.0859,0.0,0.0863,0.35100000000000003,174.03799999999998,231724
Dù Cho Mai Về Sau (Acoustic Version),Indie/Hip Hop,0.64,0.355,11,-7.6370000000000005,1,0.0876,0.8,0.0,0.11,0.815,145.142,213490
Xin Đừng Nhấc Máy,Indie/Hip Hop,0.873,0.755,7,-4.506,1,0.14,0.293,0.0,0.0881,0.773,94.01700000000001,187454
Có Lẽ Anh Chưa Từng,Pop/Ballad,0.635,0.439,9,-10.434000000000001,0,0.0444,0.609,0.0,0.2,0.6609999999999999,147.871,294535
Cho Mình Em,Indie/Hip Hop,0.603,0.41200000000000003,0,-10.359000000000002,1,0.0579,0.8909999999999999,0.0212,0.115,0.371,99.88600000000001,206400
Chỉ Là Không Cùng Nhau (Live Version),Pop/Ballad,0.48100000000000004,0.484,0,-6.556,0,0.0345,0.792,0.0,0.11,0.38299999999999995,127.238,226000
Sài Gòn Đau Lòng Quá,Pop/Ballad,0.418,0.382,3,-7.778,1,0.0319,0.7859999999999999,1.38e-06,0.386,0.261,163.878,308689
Chúng Ta Của Hiện Tại,Pop/Ballad,0.569,0.66,2,-5.268,1,0.0358,0.0675,0.0,0.20199999999999999,0.49700000000000005,155.907,301538
Phải Chăng Em Đã Yêu?,Pop/Ballad,0.69,0.615,3,-4.532,1,0.0327,0.409,1.25e-06,0.248,0.371,96.00200000000001,190000
Nàng Thơ,Pop/Ballad,0.512,0.456,0,-7.285,1,0.0328,0.773,0.0,0.154,0.163,122.88600000000001,254476
Tình Bạn Diệu Kỳ,Indie/Hip Hop,0.809,0.6920000000000001,1,-9.568,0,0.0473,0.182,0.0,0.10400000000000001,0.392,135.012,188444
Sinh Ra Đã Là Thứ Đối Lập Nhau,Indie/Hip Hop,0.494,0.395,6,-8.652999999999999,1,0.0301,0.887,1.4300000000000002e-05,0.057999999999999996,0.179,141.464,234168
Bước Qua Mùa Cô Đơn,Indie/Hip Hop,0.48,0.353,1,-8.391,1,0.0319,0.6890000000000001,0.00018600000000000002,0.156,0.319,135.82399999999998,278824
Lỡ Say Bye Là Bye,Pop/Ballad,0.708,0.42,11,-9.624,1,0.0715,0.825,4.01e-06,0.0925,0.47,144.94799999999998,214948
Gác Lại Âu Lo,Indie/Hip Hop,0.745,0.527,6,-8.09,1,0.0786,0.5710000000000001,0.0,0.11,0.385,95.03399999999999,282629
3 1 0 7 - 2 (feat. W/N & Nau),Indie/Hip Hop,0.738,0.42200000000000004,5,-9.76,1,0.0365,0.851,0.0011099999999999999,0.7120000000000001,0.315,122.071,268525
Chúng Ta Sau Này,Indie/Hip Hop,0.625,0.2,2,-11.142999999999999,0,0.0433,0.9009999999999999,0.000389,0.0854,0.384,74.87100000000001,211200
