danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.549,0.568,6,-8.159,0,0.176,0.0859,0.0,0.0863,0.351,174.038,audio_features,1eZ8S2yOGRhAE32pg27M1S,spotify:track:1eZ8S2yOGRhAE32pg27M1S,https://api.spotify.com/v1/tracks/1eZ8S2yOGRhAE32pg27M1S,https://api.spotify.com/v1/audio-analysis/1eZ8S2yOGRhAE32pg27M1S,231724,4
0.64,0.355,11,-7.637,1,0.0876,0.8,0.0,0.11,0.815,145.142,audio_features,64UWFwTIsfoHZolWAjKGgw,spotify:track:64UWFwTIsfoHZolWAjKGgw,https://api.spotify.com/v1/tracks/64UWFwTIsfoHZolWAjKGgw,https://api.spotify.com/v1/audio-analysis/64UWFwTIsfoHZolWAjKGgw,213490,4
0.873,0.755,7,-4.506,1,0.14,0.293,0.0,0.0881,0.773,94.017,audio_features,4Rbnxa7kFSpCHNPJ3uZhtR,spotify:track:4Rbnxa7kFSpCHNPJ3uZhtR,https://api.spotify.com/v1/tracks/4Rbnxa7kFSpCHNPJ3uZhtR,https://api.spotify.com/v1/audio-analysis/4Rbnxa7kFSpCHNPJ3uZhtR,187454,4
0.635,0.439,9,-10.434,0,0.0444,0.609,0.0,0.2,0.661,147.871,audio_features,1n5vwy1usk9prr2Yuh9Lt8,spotify:track:1n5vwy1usk9prr2Yuh9Lt8,https://api.spotify.com/v1/tracks/1n5vwy1usk9prr2Yuh9Lt8,https://api.spotify.com/v1/audio-analysis/1n5vwy1usk9prr2Yuh9Lt8,294535,4
0.603,0.412,0,-10.359,1,0.0579,0.891,0.0212,0.115,0.371,99.886,audio_features,51bYFYWODfYOZU0rwvjiCc,spotify:track:51bYFYWODfYOZU0rwvjiCc,https://api.spotify.com/v1/tracks/51bYFYWODfYOZU0rwvjiCc,https://api.spotify.com/v1/audio-analysis/51bYFYWODfYOZU0rwvjiCc,206400,4
0.481,0.484,0,-6.556,0,0.0345,0.792,0.0,0.11,0.383,127.238,audio_features,6iWPQ9xAYH3ZePu2Z209Y6,spotify:track:6iWPQ9xAYH3ZePu2Z209Y6,https://api.spotify.com/v1/tracks/6iWPQ9xAYH3ZePu2Z209Y6,https://api.spotify.com/v1/audio-analysis/6iWPQ9xAYH3ZePu2Z209Y6,226000,4
0.418,0.382,3,-7.778,1,0.0319,0.786,1.38e-06,0.386,0.261,163.878,audio_features,6TD5xfffOnYHliuF1wzL6U,spotify:track:6TD5xfffOnYHliuF1wzL6U,https://api.spotify.com/v1/tracks/6TD5xfffOnYHliuF1wzL6U,https://api.spotify.com/v1/audio-analysis/6TD5xfffOnYHliuF1wzL6U,308689,4
0.569,0.66,2,-5.268,1,0.0358,0.0675,0.0,0.202,0.497,155.907,audio_features,17iGUekw5nFt5mIRJcUm3R,spotify:track:17iGUekw5nFt5mIRJcUm3R,https://api.spotify.com/v1/tracks/17iGUekw5nFt5mIRJcUm3R,https://api.spotify.com/v1/audio-analysis/17iGUekw5nFt5mIRJcUm3R,301538,4
0.69,0.615,3,-4.532,1,0.0327,0.409,1.25e-06,0.248,0.371,96.002,audio_features,3wGx3gYPjECKZazGNuPEX2,spotify:track:3wGx3gYPjECKZazGNuPEX2,https://api.spotify.com/v1/tracks/3wGx3gYPjECKZazGNuPEX2,https://api.spotify.com/v1/audio-analysis/3wGx3gYPjECKZazGNuPEX2,190000,4
0.512,0.456,0,-7.285,1,0.0328,0.773,0.0,0.154,0.163,122.886,audio_features,2LykruN1mQlg9nuUaE7dvQ,spotify:track:2LykruN1mQlg9nuUaE7dvQ,https://api.spotify.com/v1/tracks/2LykruN1mQlg9nuUaE7dvQ,https://api.spotify.com/v1/audio-analysis/2LykruN1mQlg9nuUaE7dvQ,254476,4
